"This spreadsheet contains updated estimates of the model described in ""Measuring the Natural rate of Interest after COVID-19,"" ",,,
"by Kathryn Holston, Thomas Laubach, and John C. Williams, Federal Reserve Bank of New York Staff Reports, no. 1063, June 2023.   ",,,
Final data point: 2023Q2,,,
,,,
,,,
observation_date,Growth_g,Real_Interest_Rate,Output_Gap
1961-01-01,4.828758861,5.493490544,-3.75557289
1961-04-01,4.989797876,5.682398606,-3.40755653
1961-07-01,4.923091398,5.60903634,-2.640212931
1961-10-01,4.910719031,5.59201054,-1.931027857
1962-01-01,4.767864341,5.431519412,-1.116592526
1962-04-01,4.312285512,4.905557325,-0.527162403
1962-07-01,4.216467717,4.792677635,-0.191603219
1962-10-01,3.824743604,4.330072338,-0.054463876
1963-01-01,3.80605736,4.31426148,0.154363806
1963-04-01,3.772847466,4.279479032,0.428062451
1963-07-01,4.058368643,4.613980365,0.862670636
1963-10-01,3.813486249,4.33862409,1.279628656
1964-01-01,4.087031861,4.652956484,1.542060878
1964-04-01,4.022437024,4.562950819,1.739717179
1964-07-01,4.118375383,4.664885642,1.918619436
1964-10-01,3.899440146,4.397579242,1.888632635
1965-01-01,4.233148209,4.796287844,2.183025983
1965-04-01,4.214691354,4.765813871,2.405913334
1965-07-01,4.449175619,5.035066389,2.683926048
1965-10-01,4.649044016,5.266589389,3.109161495
1966-01-01,4.844162651,5.512825582,3.705880964
1966-04-01,4.57625999,5.243095392,4.016419312
1966-07-01,4.552317157,5.227126685,3.854501023
1966-10-01,4.522005777,5.202159077,3.689969768
1967-01-01,4.532304035,5.157307465,3.180668252
1967-04-01,4.330981471,4.914178315,2.850710723
1967-07-01,4.32466573,4.935994417,2.843245743
1967-10-01,4.239506618,4.858225343,2.92180496
1968-01-01,4.411934486,5.095772831,3.344162382
1968-04-01,4.45866636,5.162458949,3.759932427
1968-07-01,4.34957746,5.018438607,3.78283052
1968-10-01,4.214696552,4.855023509,3.591956859
1969-01-01,4.350373655,4.989208064,3.481911961
1969-04-01,4.174457774,4.784364232,3.384302867
1969-07-01,4.152192473,4.738779949,3.021840189
1969-10-01,3.912990481,4.447004293,2.386186133
1970-01-01,3.813476263,4.299427505,1.547625526
1970-04-01,3.753654749,4.223766732,0.950906705
1970-07-01,3.821034395,4.295006032,0.644666832
1970-10-01,3.404493527,3.867289799,0.411030598
1971-01-01,3.83464024,4.368330754,0.561890883
1971-04-01,3.636580589,4.099866457,0.803974484
1971-07-01,3.562369693,3.941857001,0.79557629
1971-10-01,3.405468938,3.618932224,0.349434275
1972-01-01,3.562493276,3.865016607,0.887704617
1972-04-01,3.764472183,4.029345417,1.255679445
1972-07-01,3.649886937,3.892251845,1.690775874
1972-10-01,3.768447884,3.992262135,1.872804123
1973-01-01,4.023788283,4.294042454,2.393067437
1973-04-01,3.935988727,4.379233808,3.314563567
1973-07-01,3.652095598,4.074464551,2.976941541
1973-10-01,3.787121202,4.285750564,2.625233556
1974-01-01,3.502157273,4.057559288,2.193704873
1974-04-01,3.461613089,4.2791504,2.406605011
1974-07-01,3.154048916,4.116700211,2.288219649
1974-10-01,3.069884484,3.975118058,1.327813159
1975-01-01,2.784575798,3.465921007,0.000835104
1975-04-01,2.860636274,3.342024497,-0.808226199
1975-07-01,2.973404298,3.376065029,-0.505005852
1975-10-01,2.936213661,3.32813553,0.222460478
1976-01-01,3.116944533,3.502920784,0.922840096
1976-04-01,2.97977087,3.211702555,1.090536167
1976-07-01,2.841648494,3.128096794,1.614812876
1976-10-01,2.79745733,3.080448697,1.80748518
1977-01-01,2.838709125,3.175940449,2.234477528
1977-04-01,3.023090824,3.357644941,2.656129146
1977-07-01,3.123475424,3.500799621,3.359709625
1977-10-01,2.8950639,3.13159289,3.229519537
1978-01-01,2.819939096,3.037616786,3.1014118
1978-04-01,3.451325101,3.847943364,3.906099333
1978-07-01,3.362827669,3.72773172,4.348621818
1978-10-01,3.447928563,3.853450756,4.572650252
1979-01-01,3.363662497,3.562342576,3.783355887
1979-04-01,3.256636967,3.689559628,4.029056728
1979-07-01,3.367890647,3.724224086,3.311368292
1979-10-01,3.312901206,3.74442586,3.119498072
1980-01-01,3.300602306,3.889199243,3.00389141
1980-04-01,2.876220622,3.316922283,1.574404053
1980-07-01,2.938988275,3.387753946,0.487600544
1980-10-01,3.242743764,3.845365667,0.646196528
1981-01-01,3.483040466,4.056246198,0.69307547
1981-04-01,3.220769719,3.580752803,-0.26897332
1981-07-01,3.487337514,3.827582001,-1.055965118
1981-10-01,3.230910653,3.452368275,-2.19071026
1982-01-01,2.956000483,2.96639278,-3.849020552
1982-04-01,3.080303158,3.04603918,-4.753865871
1982-07-01,2.918557548,2.946979078,-5.089924142
1982-10-01,2.863820158,2.8395398,-5.658898156
1983-01-01,2.990278056,2.990787177,-5.548595672
1983-04-01,3.246107664,3.080294775,-5.475466697
1983-07-01,3.293456878,3.427665097,-3.883185386
1983-10-01,3.469030785,3.399916633,-3.805797026
1984-01-01,3.575076426,3.598454588,-2.993956996
1984-04-01,3.65410671,3.792544385,-2.271346838
1984-07-01,3.639222225,3.692737324,-2.337094079
1984-10-01,3.65590309,3.618949012,-2.685190459
1985-01-01,3.652135138,3.894549048,-2.048150878
1985-04-01,3.672053876,3.766052659,-2.470946436
1985-07-01,3.764535417,3.953981789,-2.069735646
1985-10-01,3.695976569,3.747626622,-2.260186881
1986-01-01,3.655669614,3.83620695,-1.824620704
1986-04-01,3.569052683,3.584758263,-2.256031121
1986-07-01,3.580421564,3.578419561,-2.279367505
1986-10-01,3.466321916,3.499601997,-2.087257855
1987-01-01,3.430897322,3.382877686,-2.224866871
1987-04-01,3.421439046,3.543096554,-1.631179172
1987-07-01,3.388697429,3.519585272,-1.466411476
1987-10-01,3.524994761,3.779050023,-0.940622509
1988-01-01,3.39789029,3.634599695,-0.80564744
1988-04-01,3.459557388,3.841178149,-0.322927294
1988-07-01,3.367840297,3.739777861,-0.236587192
1988-10-01,3.465208071,3.862387976,-0.114986798
1989-01-01,3.481824771,3.870627139,-0.056216032
1989-04-01,3.483112774,3.768446604,-0.374624031
1989-07-01,3.507633248,3.681432348,-0.828716758
