Title:,Misery Index from the Misery Index Database
SubTitle:,USA
Time:,01/1948 - 05/2023
Unit of Measure:,#
Citation:,"Data Planet: A SAGE Publishing Resource (2023-10-20). Misery Index: Misery Index, 01/1948 - 05/2023. Sage Data. Sage Publishing Ltd. (Dataset). Dataset-ID:  077-003-001 "
ColumnCount:,2
RowCount:,905
,
Time,EDI
1948-01-01,14.2326
1948-02-01,14.0023
1948-03-01,11.3493
1948-04-01,12.6758
1948-05-01,12.5324
1948-06-01,13.4455
1948-07-01,13.8099
1948-08-01,12.4889
1948-09-01,9.9217
1948-10-01,8.987
1948-11-01,8.0619
1948-12-01,6.5915
1949-01-01,6.2658
1949-02-01,7.0766
1949-03-01,7.3094
1949-04-01,5.8202
1949-05-01,5.2816
1949-06-01,5.5701
1949-07-01,4.1311
1949-08-01,3.4429
1949-09-01,3.451
1949-10-01,3.2311
1949-11-01,4.0471
1949-12-01,3.9253
1950-01-01,5.5167
1950-02-01,6.6395
1950-03-01,6.2597
1950-04-01,4.7448
1950-05-01,4.8798
1950-06-01,5.1816
1950-07-01,6.9878
1950-08-01,6.2008
1950-09-01,6.0921
1950-10-01,7.0975
1950-11-01,7.5815
1950-12-01,9.8322
1951-01-01,12.4851
1951-02-01,13.5617
1951-03-01,13.122
1951-04-01,12.522
1951-05-01,12.1827
1951-06-01,12.2235
1951-07-01,10.7689
1951-08-01,9.4844
1951-09-01,9.9672
1951-10-01,9.3041
1951-11-01,10.0826
1951-12-01,8.9
1952-01-01,8.0307
1952-02-01,6.1346
1952-03-01,5.238
1952-04-01,5.3256
1952-05-01,4.8305
1952-06-01,5.5166
1952-07-01,6.3888
1952-08-01,6.1888
1952-09-01,4.9989
1952-10-01,4.3084
1952-11-01,3.6364
1952-12-01,3.2547
1953-01-01,3.7774
1953-02-01,3.9605
1953-03-01,4.0407
1953-04-01,3.5576
1953-05-01,3.6364
1953-06-01,3.8321
1953-07-01,3.0745
1953-08-01,3.1491
1953-09-01,3.3491
1953-10-01,3.6236
1953-11-01,3.9491
1953-12-01,4.9491
1954-01-01,6.8278
1954-02-01,7.8094
1954-03-01,7.5278
1954-04-01,6.8519
1954-05-01,6.4491
1954-06-01,6.0731
1954-07-01,6.0731
1954-08-01,5.4
1954-09-01,4.9283
1954-10-01,3.8593
1954-11-01,4.5283
1954-12-01,4.0565
1955-01-01,5.0565
1955-02-01,4.9565
1955-03-01,4.4565
1955-04-01,4.5269
1955-05-01,3.4565
1955-06-01,3.6565
1955-07-01,3.6283
1955-08-01,3.4283
1955-09-01,3.8731
1955-10-01,3.7731
1955-11-01,4.1731
1955-12-01,4.2745
1956-01-01,5.0745
1956-02-01,5.1745
1956-03-01,5.0745
1956-04-01,4.8491
1956-05-01,5.3236
1956-06-01,6.5727
1956-07-01,6.6388
1956-08-01,5.5657
1956-09-01,5.2587
1956-10-01,5.3305
1956-11-01,6.1305
1956-12-01,6.9851
1957-01-01,7.8851
1957-02-01,8.0582
1957-03-01,8.0313
1957-04-01,7.7175
1957-05-01,7.6037
1957-06-01,7.9088
1957-07-01,7.3847
