FRED Graph Observations,
Federal Reserve Economic Data,
Link: https://fred.stlouisfed.org,
Help: https://fredhelp.stlouisfed.org,
Economic Research Division,
Federal Reserve Bank of St. Louis,
,
PCEPILFE_CH1,"Personal Consumption Expenditures Excluding Food and Energy (Chain-Type Price Index), Change from Year Ago, Index 2017=100, Monthly, Seasonally Adjusted"
,
Frequency: Monthly,
observation_date,PCEPILFE_CH1
1960-01-01,0.321
1960-02-01,0.339
1960-03-01,0.322
1960-04-01,0.312
1960-05-01,0.319
1960-06-01,0.282
1960-07-01,0.273
1960-08-01,0.271
1960-09-01,0.243
1960-10-01,0.225
1960-11-01,0.239
1960-12-01,0.210
1961-01-01,0.210
1961-02-01,0.196
1961-03-01,0.200
1961-04-01,0.193
1961-05-01,0.188
1961-06-01,0.203
1961-07-01,0.200
1961-08-01,0.194
1961-09-01,0.213
1961-10-01,0.209
1961-11-01,0.169
1961-12-01,0.188
1962-01-01,0.203
1962-02-01,0.214
1962-03-01,0.247
1962-04-01,0.228
1962-05-01,0.230
1962-06-01,0.236
1962-07-01,0.225
1962-08-01,0.210
1962-09-01,0.210
1962-10-01,0.204
1962-11-01,0.213
1962-12-01,0.204
1963-01-01,0.216
1963-02-01,0.208
1963-03-01,0.180
1963-04-01,0.197
1963-05-01,0.204
1963-06-01,0.202
1963-07-01,0.203
1963-08-01,0.216
1963-09-01,0.214
1963-10-01,0.252
1963-11-01,0.255
1963-12-01,0.274
1964-01-01,0.266
1964-02-01,0.279
1964-03-01,0.285
1964-04-01,0.280
1964-05-01,0.264
1964-06-01,0.248
1964-07-01,0.250
1964-08-01,0.257
1964-09-01,0.234
1964-10-01,0.204
1964-11-01,0.213
1964-12-01,0.213
1965-01-01,0.213
1965-02-01,0.201
1965-03-01,0.195
1965-04-01,0.200
1965-05-01,0.217
1965-06-01,0.201
1965-07-01,0.201
1965-08-01,0.211
1965-09-01,0.224
1965-10-01,0.211
1965-11-01,0.219
1965-12-01,0.247
1966-01-01,0.229
1966-02-01,0.251
1966-03-01,0.263
1966-04-01,0.305
1966-05-01,0.320
1966-06-01,0.380
1966-07-01,0.414
1966-08-01,0.414
1966-09-01,0.448
1966-10-01,0.511
1966-11-01,0.523
1966-12-01,0.525
1967-01-01,0.536
1967-02-01,0.526
1967-03-01,0.531
1967-04-01,0.518
1967-05-01,0.511
1967-06-01,0.500
1967-07-01,0.510
1967-08-01,0.533
1967-09-01,0.543
1967-10-01,0.553
1967-11-01,0.567
1967-12-01,0.558
1968-01-01,0.623
1968-02-01,0.670
1968-03-01,0.716
1968-04-01,0.735
1968-05-01,0.766
1968-06-01,0.794
1968-07-01,0.795
1968-08-01,0.813
1968-09-01,0.825
1968-10-01,0.835
1968-11-01,0.849
1968-12-01,0.861
1969-01-01,0.852
1969-02-01,0.839
1969-03-01,0.856
1969-04-01,0.862
1969-05-01,0.870
1969-06-01,0.864
1969-07-01,0.893
1969-08-01,0.875
1969-09-01,0.878
1969-10-01,0.886
1969-11-01,0.890
1969-12-01,0.907
1970-01-01,0.901
1970-02-01,0.912
1970-03-01,0.897
1970-04-01,0.903
1970-05-01,0.897
1970-06-01,0.903
1970-07-01,0.890
1970-08-01,0.906
1970-09-01,0.913
1970-10-01,0.930
1970-11-01,0.961
1970-12-01,0.992
1971-01-01,1.009
1971-02-01,1.012
1971-03-01,1.005
1971-04-01,1.004
1971-05-01,1.025
1971-06-01,1.037
1971-07-01,1.041
1971-08-01,1.000
1971-09-01,0.950
1971-10-01,0.882
1971-11-01,0.824
1971-12-01,0.787
1972-01-01,0.797
1972-02-01,0.776
1972-03-01,0.751
1972-04-01,0.723
